]0;IPython: pycaffe/python2.7.12 
../../china_lenet_dp2_gap_deploy.prototxt
../../weights/china_lenet_dp2_gap/china_lenet_dp2_gap_value0_iter_15000.caffemodel
 
/home/higaki/china_data/image_0/test/alp/C/0761_SN1_0.png 0
/home/higaki/china_data/image_0/test/alp/C/0773_SN1_0.png 0
/home/higaki/china_data/image_0/test/alp/J/0553_SN1_0.png 1
/home/higaki/china_data/image_0/test/alp/J/0737_SN1_1.png 29
/home/higaki/china_data/image_0/test/alp/J/0981_SN1_0.png 29
/home/higaki/china_data/image_0/test/alp/L/0453_SN1_0.png 1
/home/higaki/china_data/image_0/test/alp/L/1049_SN1_1.png 1
/home/higaki/china_data/image_0/test/alp/Q/0501_SN1_1.png 0
/home/higaki/china_data/image_0/test/alp/Q/0737_SN1_0.png 0
/home/higaki/china_data/image_0/test/alp/Q/1133_SN1_0.png 0
/home/higaki/china_data/image_0/test/alp/U/1109_SN1_0.png 0
/home/higaki/china_data/image_0/test/num/0/0509_SN1_3.png 13
/home/higaki/china_data/image_0/test/num/0/0729_SN1_3.png 13
/home/higaki/china_data/image_0/test/num/0/1105_SN1_3.png 8
/home/higaki/china_data/image_0/test/num/2/0525_SN1_3.png 35
/home/higaki/china_data/image_0/test/num/2/0773_SN1_3.png 0
/home/higaki/china_data/image_0/test/num/3/0525_SN1_1.png 8
/home/higaki/china_data/image_0/test/num/4/0501_SN1_3.png 1
/home/higaki/china_data/image_0/test/num/4/0501_SN1_7.png 1
/home/higaki/china_data/image_0/test/num/4/0949_SN1_3.png 10
/home/higaki/china_data/image_0/test/num/4/1005_SN1_3.png 6
/home/higaki/china_data/image_0/test/num/4/1021_SN1_3.png 1
/home/higaki/china_data/image_0/test/num/5/0445_SN1_1.png 3
/home/higaki/china_data/image_0/test/num/5/0977_SN1_2.png 6
/home/higaki/china_data/image_0/test/num/5/1113_SN1_2.png 1
/home/higaki/china_data/image_0/test/num/5/1165_SN1_7.png 6
/home/higaki/china_data/image_0/test/num/7/0537_SN1_2.png 0
/home/higaki/china_data/image_0/test/num/7/0549_SN1_2.png 0
/home/higaki/china_data/image_0/test/num/8/0509_SN1_2.png 11
/home/higaki/china_data/image_0/test/num/8/0729_SN1_2.png 11
/home/higaki/china_data/image_0/test/num/9/0537_SN1_3.png 0
