]0;IPython: pycaffe/python2.7.12 
../../china_lenet_dp2_gap_deploy.prototxt
../../weights/china_lenet_dp2_gap/china_lenet_dp2_gap_value2_iter_15000.caffemodel
 
/home/higaki/china_data/image_2/test/alp/B/0539_SN1_1.png 14
/home/higaki/china_data/image_2/test/alp/B/0551_SN1_1.png 13
/home/higaki/china_data/image_2/test/alp/D/1031_SN1_0.png 0
/home/higaki/china_data/image_2/test/alp/L/1043_SN1_1.png 1
/home/higaki/china_data/image_2/test/alp/U/1099_SN1_1.png 13
/home/higaki/china_data/image_2/test/num/0/0535_SN1_4.png 6
/home/higaki/china_data/image_2/test/num/0/1127_SN1_3.png 13
/home/higaki/china_data/image_2/test/num/2/0511_SN1_3.png 35
/home/higaki/china_data/image_2/test/num/5/0751_SN1_2.png 28
/home/higaki/china_data/image_2/test/num/5/1031_SN1_4.png 3
/home/higaki/china_data/image_2/test/num/5/1043_SN1_8.png 33
/home/higaki/china_data/image_2/test/num/5/1107_SN1_2.png 1
/home/higaki/china_data/image_2/test/num/5/1139_SN1_2.png 28
/home/higaki/china_data/image_2/test/num/6/1043_SN1_2.png 1
/home/higaki/china_data/image_2/test/num/7/1039_SN1_2.png 35
/home/higaki/china_data/image_2/test/num/8/0467_SN1_3.png 3
/home/higaki/china_data/image_2/test/num/8/0539_SN1_2.png 6
/home/higaki/china_data/image_2/test/num/8/0827_SN1_2.png 6
/home/higaki/china_data/image_2/test/num/8/0887_SN1_2.png 6
/home/higaki/china_data/image_2/test/num/8/0955_SN1_4.png 11
/home/higaki/china_data/image_2/test/num/9/0767_SN1_3.png 0
/home/higaki/china_data/image_2/test/num/9/1043_SN1_9.png 0
/home/higaki/china_data/image_2/test/num/9/1127_SN1_2.png 3
